Month,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure
1,0,7,-18,153.48,0.8,76.51,-14,930
1,0,4,-18,150.42,0.7,70.47,-14,930
1,0,1,-17,146.57,0.6,72.34,-14,930
1,0,1,-17,142.17,0.4,72.34,-14,930
1,0,7,-17,137.42,0.2,73.09,-14,930
1,0,7,-17,132.46,0.5,73.07,-14,930
1,0,7,-17,127.37,0.8,73.32,-14,930
1,0,7,-17,122.22,1.2,73.33,-14,930
1,0,6,-17,117.07,1.7,74.55,-14,930
1,0,7,-17,111.96,2.2,74.58,-14,930
1,0,7,-17,106.93,2.7,75.47,-14,930
1,0,7,-17,102.02,3,75.51,-14,930
1,0,7,-17,97.26,3.3,73.45,-14,930
1,0,7,-17,92.7,3.4,73.49,-14,930
1,0,6,-18,88.38,3.5,71.04,-14,930
1,0,7,-18,84.36,3.5,71.06,-13,930
1,0,6,-18,80.68,3.5,69.35,-13,930
1,0,6,-18,77.41,3.4,63.95,-13,930
1,0,7,-18,74.59,3.4,63.69,-13,930
1,0,7,-18,72.3,3.5,63.7,-12,930
1,0,6,-18,70.58,3.6,64.54,-12,930
1,0,6,-18,69.48,3.8,59.54,-12,930
1,0,6,-18,69.04,4,60.77,-12,940
1,0,6,-18,69.26,4.2,60.79,-12,940
1,0,6,-17,70.14,4.4,61.66,-12,940
1,0,6,-17,71.65,4.6,61.69,-12,940
1,0,6,-17,73.75,4.9,61.52,-12,940
1,0,6,-17,76.4,5.1,61.56,-12,940
1,33,7,-18,79.52,5.3,64.81,-12,940
1,17,7,-18,83.07,5.3,64.85,-12,940
1,0,7,-18,86.98,5.3,66.81,-13,940
1,0,7,-18,91.21,5.1,66.87,-13,940
1,0,7,-19,95.69,5.1,63.05,-14,940
1,0,7,-19,100.38,4.8,63.1,-14,940
1,0,7,-20,105.25,4.5,63.25,-15,940
1,0,7,-20,110.24,4.1,63.29,-15,940
1,0,7,-21,115.33,3.8,57.93,-15,940
1,0,1,-21,120.46,3.5,57.96,-15,940
1,0,7,-22,125.61,3.2,58.28,-16,950
1,0,1,-22,130.72,3,58.3,-16,950
1,0,1,-23,135.73,2.9,54.74,-16,950
1,0,4,-23,140.56,2.8,54.76,-16,950
1,0,1,-23,145.08,2.7,56.49,-16,950
1,0,4,-23,149.13,2.6,56.5,-16,950
1,0,1,-24,152.48,2.6,53.78,-17,950
1,0,1,-24,154.8,2.4,53.78,-17,950
1,0,1,-24,155.8,2.3,56.87,-18,950
1,0,4,-24,155.31,2.2,56.89,-18,950
1,0,1,-24,153.4,2.1,62.71,-19,950
1,0,8,-24,150.37,2,62.73,-19,950
1,0,1,-24,146.53,1.9,64.3,-19,950
1,0,8,-24,142.14,1.7,64.3,-19,950
1,0,8,-23,137.4,1.6,72.04,-19,950
1,0,8,-23,132.45,1.4,72.03,-19,950
1,0,8,-23,127.36,1.2,73.76,-19,950
1,0,8,-23,122.21,1,73.74,-19,950
1,0,8,-23,117.06,0.8,74.6,-20,950
1,0,8,-23,111.95,1,74.58,-20,950
1,0,8,-23,106.92,1.2,72.92,-20,950
1,0,8,-23,102,1.6,72.9,-20,950
1,0,8,-24,97.24,2.1,75.45,-21,950
1,0,8,-24,92.67,2.6,75.42,-20,950
1,0,7,-24,88.34,3.1,72.91,-20,950
1,0,7,-24,84.31,3.6,61.3,-18,950
1,0,7,-23,80.63,4.1,57.7,-17,940
1,0,7,-23,77.34,4.8,48.79,-15,940
1,0,7,-22,74.51,5.5,49.82,-14,940
1,0,6,-22,72.21,5.6,45.86,-13,940
1,0,6,-21,70.48,5.7,46.25,-12,940
1,0,6,-21,69.37,5.8,42.63,-11,940
1,0,6,-19,68.91,6,48.84,-10,940
1,0,6,-19,69.12,5.9,45.04,-9,940
1,0,6,-17,69.99,5.8,49.27,-9,930
1,0,6,-17,71.5,5.4,45.52,-8,930
1,0,6,-15,73.6,5,54.49,-8,930
1,3,6,-15,76.24,4.9,54.42,-8,930
1,0,6,-14,79.37,4.9,61.23,-8,930
1,0,6,-14,82.91,4.9,61.14,-8,930
1,0,6,-13,86.82,4.9,65.16,-8,930
1,0,6,-13,91.05,5,65.08,-8,930
1,0,6,-12,95.53,5.1,68.26,-8,920
1,0,6,-12,100.22,5.1,68.17,-8,920
